t,kappa,nof,cycle
4055,1.2658227848101267,fdnof,30
4056,1.2658227848101267,fdnof,30
4060,1.2618296529968454,fdnof,30
4061,1.2618296529968454,fdnof,30
4063,1.2578616352201257,fdnof,30
4064,1.2578616352201257,fdnof,30
4065,1.2578616352201257,fdnof,30
4066,1.2578616352201257,fdnof,30
4067,1.2578616352201257,fdnof,30
4068,1.25,fdnof,30
4070,1.25,fdnof,30
4072,1.2461059190031152,fdnof,30
4075,1.2422360248447204,fdnof,30
4082,1.238390092879257,fdnof,30
4085,1.238390092879257,fdnof,30
4089,1.2345679012345678,fdnof,30
4091,1.2345679012345678,fdnof,30
4095,1.2345679012345678,fdnof,30
4096,1.2345679012345678,fdnof,30
4097,1.2345679012345678,fdnof,30
